"V1","V2"
-68.4375,-68.375
-68.375,-68.3125
-68.3125,-68.25
-68.25,-68.1875
-68.1875,-68.125
-68.125,-68.0625
-68.0625,-68
-68,-67.9375
-67.9375,-67.875
-67.875,-67.8125
-67.8125,-67.75
-67.75,-67.6875
-67.6875,-67.625
-67.625,-67.5625
-67.5625,-67.5
-67.5,-67.4375
-67.4375,-67.375
-67.375,-67.3125
-67.3125,-67.25
-67.25,-67.1875
-67.1875,-67.125
-67.125,-67.0625
-67.0625,-67
-67,-66.9375
-66.9375,-66.875
-66.875,-66.8125
-66.8125,-66.75
-66.75,-66.6875
-66.6875,-66.625
-66.625,-66.5625
-66.5625,-66.5
-66.5,-66.4375
-66.4375,-66.375
-66.375,-66.3125
-66.3125,-66.25
-66.25,-66.1875
-66.1875,-66.125
-66.125,-66.0625
-66.0625,-66
