tasmax_day_I35txdetrp1-DeltaSD-A18D01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A18D01K00 rcp85 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp85 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A18L01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A18L01K00 rcp85 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp85 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A18P01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A18P01K00 rcp85 r6i1p1 relative to 1981-2099 and trend CCSM4 rcp85 r6i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A22D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A22D01K00 rcp26 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp26 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A22L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A22L01K00 rcp26 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp26 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A22P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A22P01K00 rcp26 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp26 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A24D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A24D01K00 rcp45 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp45 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A24L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A24L01K00 rcp45 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp45 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A24P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A24P01K00 rcp45 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp45 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A28D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A28D01K00 rcp85 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp85 r1i1p1 smoothed 31 days
